"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDUNILVR","EQ","16-Oct-2019","       2064.40","       2065.30","       2080.00","       2052.60","       2078.95","       2071.00","       2068.81","    1661705","          3437752743.20","     102952","     964878","         58.07"
"HINDUNILVR","EQ","17-Oct-2019","       2071.00","       2067.50","       2108.00","       2061.95","       2106.50","       2103.85","       2091.57","    2001245","          4185743149.45","      78047","    1160652","         58.00"
"HINDUNILVR","EQ","18-Oct-2019","       2103.85","       2100.00","       2116.00","       2090.70","       2108.00","       2106.85","       2107.77","    2202270","          4641876858.45","      77935","    1454996","         66.07"
"HINDUNILVR","EQ","22-Oct-2019","       2106.85","       2120.00","       2149.00","       2112.00","       2131.70","       2127.35","       2132.45","    1737401","          3704926871.75","     101380","    1321300","         76.05"
"HINDUNILVR","EQ","23-Oct-2019","       2127.35","       2119.45","       2137.45","       2098.00","       2136.30","       2133.25","       2114.55","    1535786","          3247496569.65","      87953","     939348","         61.16"
"HINDUNILVR","EQ","24-Oct-2019","       2133.25","       2141.00","       2150.00","       2118.05","       2140.00","       2133.35","       2131.04","     973453","          2074465586.65","      77257","     552236","         56.73"
"HINDUNILVR","EQ","25-Oct-2019","       2133.35","       2147.55","       2156.50","       2129.30","       2141.00","       2145.10","       2143.62","    1612038","          3455597300.20","     100871","    1152788","         71.51"
"HINDUNILVR","EQ","27-Oct-2019","       2145.10","       2148.00","       2148.00","       2134.50","       2141.50","       2139.75","       2140.03","      85187","           182303137.45","       5513","      44202","         51.89"
"HINDUNILVR","EQ","29-Oct-2019","       2139.75","       2135.00","       2163.95","       2111.40","       2163.00","       2160.20","       2139.37","    1229516","          2630386179.25","      77357","     685343","         55.74"
"HINDUNILVR","EQ","30-Oct-2019","       2160.20","       2180.00","       2180.00","       2142.00","       2172.35","       2169.40","       2158.99","    1195298","          2580630745.80","      72528","     708629","         59.28"
"HINDUNILVR","EQ","31-Oct-2019","       2169.40","       2165.00","       2187.25","       2159.30","       2180.50","       2175.35","       2170.86","    1752830","          3805147461.90","      69028","    1222871","         69.77"
"HINDUNILVR","EQ","01-Nov-2019","       2175.35","       2165.10","       2184.30","       2146.40","       2178.00","       2179.35","       2165.90","    1609685","          3486413221.15","      79428","     965135","         59.96"
"HINDUNILVR","EQ","04-Nov-2019","       2179.35","       2179.35","       2186.85","       2149.80","       2154.45","       2158.15","       2164.10","    1523698","          3297429335.65","      84041","    1090967","         71.60"
"HINDUNILVR","EQ","05-Nov-2019","       2158.15","       2153.50","       2175.75","       2143.15","       2171.00","       2172.15","       2160.70","    2167085","          4682424035.80","      85182","    1580141","         72.92"
"HINDUNILVR","EQ","06-Nov-2019","       2172.15","       2166.00","       2184.00","       2155.00","       2184.00","       2179.45","       2172.91","    1093243","          2375516593.85","      48572","     734192","         67.16"
"HINDUNILVR","EQ","07-Nov-2019","       2179.45","       2190.00","       2190.00","       2128.00","       2140.95","       2138.25","       2146.51","    1970785","          4230301209.60","      86447","    1363373","         69.18"
"HINDUNILVR","EQ","08-Nov-2019","       2138.25","       2135.00","       2145.15","       2083.00","       2085.00","       2086.40","       2098.32","    1537851","          3226907744.40","      85573","     915681","         59.54"
"HINDUNILVR","EQ","11-Nov-2019","       2086.40","       2081.30","       2100.05","       2068.05","       2080.00","       2081.35","       2079.54","    1050170","          2183865344.65","      65129","     634180","         60.39"
"HINDUNILVR","EQ","13-Nov-2019","       2081.35","       2084.00","       2094.90","       2072.45","       2091.10","       2091.00","       2087.22","     868433","          1812612799.40","      56467","     541507","         62.35"
"HINDUNILVR","EQ","14-Nov-2019","       2091.00","       2090.60","       2090.60","       2061.45","       2069.00","       2069.05","       2069.92","    1291198","          2672673509.00","      68179","     961430","         74.46"
"HINDUNILVR","EQ","15-Nov-2019","       2069.05","       2062.25","       2099.00","       2050.55","       2057.45","       2057.70","       2072.11","     958290","          1985681282.05","      55498","     532558","         55.57"
"HINDUNILVR","EQ","18-Nov-2019","       2057.70","       2059.80","       2075.35","       2038.00","       2059.30","       2056.20","       2050.82","    1200573","          2462163928.50","      59248","     816669","         68.02"
"HINDUNILVR","EQ","19-Nov-2019","       2056.20","       2060.05","       2060.05","       2030.00","       2039.00","       2037.75","       2038.18","    1413218","          2880397024.75","      71762","    1028850","         72.80"
"HINDUNILVR","EQ","20-Nov-2019","       2037.75","       2044.00","       2052.85","       2017.05","       2026.00","       2026.50","       2031.20","     989673","          2010219912.50","      56055","     560791","         56.66"
"HINDUNILVR","EQ","21-Nov-2019","       2026.50","       2027.00","       2059.95","       2017.00","       2047.00","       2048.65","       2038.85","    1397175","          2848632892.45","      76846","     838909","         60.04"
"HINDUNILVR","EQ","22-Nov-2019","       2048.65","       2050.00","       2053.20","       2008.00","       2030.80","       2028.35","       2025.73","     835864","          1693237619.60","      49392","     446811","         53.45"
"HINDUNILVR","EQ","25-Nov-2019","       2028.35","       2022.10","       2066.95","       2022.10","       2057.90","       2062.40","       2051.88","     862520","          1769791219.20","      46905","     440151","         51.03"
