"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIPRULI","EQ","16-Oct-2019","        455.00","        455.95","        470.15","        455.75","        465.55","        465.85","        465.60","    2371707","          1104269255.30","      53286","     798594","         33.67"
"ICICIPRULI","EQ","17-Oct-2019","        465.85","        467.95","        474.75","        464.65","        472.50","        472.60","        470.57","    2527748","          1189472970.05","      46249","     890739","         35.24"
"ICICIPRULI","EQ","18-Oct-2019","        472.60","        472.50","        478.00","        467.20","        477.15","        476.75","        474.91","    2194880","          1042366518.80","      68067","    1064154","         48.48"
"ICICIPRULI","EQ","22-Oct-2019","        476.75","        478.35","        488.45","        473.40","        480.10","        480.05","        480.74","    2590137","          1245178411.15","      61511","    1289953","         49.80"
"ICICIPRULI","EQ","23-Oct-2019","        480.05","        481.10","        487.90","        478.40","        484.50","        485.20","        483.92","    3220051","          1558231371.15","     123691","    1763867","         54.78"
"ICICIPRULI","EQ","24-Oct-2019","        485.20","        486.00","        488.80","        477.00","        479.50","        479.65","        482.09","    2034503","           980808691.45","      63651","    1257531","         61.81"
"ICICIPRULI","EQ","25-Oct-2019","        479.65","        480.00","        487.80","        474.00","        483.75","        483.90","        480.33","    1915211","           919942427.25","      65674","     961158","         50.19"
"ICICIPRULI","EQ","27-Oct-2019","        483.90","        487.40","        488.90","        483.00","        485.00","        485.15","        485.90","     248519","           120756334.10","       6220","     123096","         49.53"
"ICICIPRULI","EQ","29-Oct-2019","        485.15","        485.95","        510.00","        484.10","        504.50","        504.20","        503.14","    3630843","          1826832111.50","     105678","    1322872","         36.43"
"ICICIPRULI","EQ","30-Oct-2019","        504.20","        504.80","        514.45","        498.20","        511.50","        512.90","        507.47","    2364564","          1199950075.35","      56632","     864900","         36.58"
"ICICIPRULI","EQ","31-Oct-2019","        512.90","        514.00","        516.65","        505.10","        509.55","        510.45","        511.52","    1827502","           934808940.30","      43973","     565245","         30.93"
"ICICIPRULI","EQ","01-Nov-2019","        510.45","        512.90","        522.75","        506.50","        508.05","        508.65","        512.70","    2808012","          1439658581.45","      74291","    1219904","         43.44"
"ICICIPRULI","EQ","04-Nov-2019","        508.65","        509.85","        514.00","        506.20","        510.90","        510.65","        509.80","    1507498","           768527458.25","      30016","     866007","         57.45"
"ICICIPRULI","EQ","05-Nov-2019","        510.65","        511.25","        519.00","        505.10","        509.60","        509.90","        510.54","    2268137","          1157970749.85","      68431","    1279725","         56.42"
"ICICIPRULI","EQ","06-Nov-2019","        509.90","        510.50","        521.70","        507.05","        519.05","        520.05","        513.91","    2762005","          1419430881.95","      45359","    1686850","         61.07"
"ICICIPRULI","EQ","07-Nov-2019","        520.05","        525.00","        526.70","        514.20","        519.00","        518.10","        518.96","    2623595","          1361542974.60","      34130","    1285554","         49.00"
"ICICIPRULI","EQ","08-Nov-2019","        518.10","        524.00","        527.30","        515.15","        519.00","        519.45","        520.71","    3950161","          2056881899.15","     165751","    2209133","         55.93"
"ICICIPRULI","EQ","11-Nov-2019","        519.45","        520.00","        527.00","        519.30","        524.55","        524.95","        524.77","    1891144","           992416297.00","     110175","    1104335","         58.40"
"ICICIPRULI","EQ","13-Nov-2019","        524.95","        531.95","        537.30","        526.15","        528.90","        529.20","        531.74","    3677384","          1955411340.45","     116007","    1917336","         52.14"
"ICICIPRULI","EQ","14-Nov-2019","        529.20","        531.00","        532.05","        519.05","        526.40","        525.40","        523.33","    2014684","          1054350731.65","      67132","     904864","         44.91"
"ICICIPRULI","EQ","15-Nov-2019","        525.40","        526.40","        527.50","        520.05","        522.50","        522.45","        523.57","    1882556","           985646111.20","      56877","    1208353","         64.19"
"ICICIPRULI","EQ","18-Nov-2019","        522.45","        522.50","        528.95","        517.65","        519.10","        520.65","        522.31","    1873461","           978534536.10","      54767","    1209678","         64.57"
"ICICIPRULI","EQ","19-Nov-2019","        520.65","        520.70","        522.15","        503.30","        504.40","        505.10","        510.22","    3448412","          1759441385.15","      64554","    2417430","         70.10"
"ICICIPRULI","EQ","20-Nov-2019","        505.10","        506.40","        510.65","        501.55","        503.30","        503.30","        505.84","    2440249","          1234374956.20","      58443","    1304198","         53.45"
"ICICIPRULI","EQ","21-Nov-2019","        503.30","        503.30","        504.90","        497.30","        499.60","        499.55","        500.43","    2326321","          1164150932.25","      42254","    1530934","         65.81"
"ICICIPRULI","EQ","22-Nov-2019","        499.55","        501.90","        501.90","        493.60","        498.00","        497.60","        496.92","    2442942","          1213952477.20","     113071","    1675981","         68.61"
"ICICIPRULI","EQ","25-Nov-2019","        497.60","        498.00","        511.80","        496.40","        506.90","        506.90","        506.42","    4690342","          2375286040.05","     118436","    2959101","         63.09"
"ICICIPRULI","EQ","26-Nov-2019","        506.90","        509.40","        510.10","        490.60","        491.50","        497.00","        497.70","   38245001","         19034713166.90","     203976","   30069605","         78.62"
"ICICIPRULI","EQ","27-Nov-2019","        497.00","        490.80","        500.80","        487.50","        497.00","        496.45","        495.13","    2328423","          1152877550.20","      41116","     833413","         35.79"
"ICICIPRULI","EQ","28-Nov-2019","        496.45","        498.45","        502.55","        495.00","        498.00","        498.15","        498.84","    1618349","           807304689.45","      45325","     705383","         43.59"
"ICICIPRULI","EQ","29-Nov-2019","        498.15","        498.15","        506.25","        498.15","        502.50","        502.45","        503.25","    1781266","           896429200.65","      37610","     748425","         42.02"
"ICICIPRULI","EQ","02-Dec-2019","        502.45","        499.00","        502.50","        495.40","        498.60","        498.55","        498.22","     865197","           431055300.35","      18693","     403730","         46.66"
"ICICIPRULI","EQ","03-Dec-2019","        498.55","        500.80","        506.30","        498.00","        505.00","        504.80","        502.29","    2598813","          1305350022.80","      37441","    1419657","         54.63"
"ICICIPRULI","EQ","04-Dec-2019","        504.80","        500.10","        507.30","        496.70","        499.70","        500.65","        502.18","    2704858","          1358326191.30","      51384","    1182182","         43.71"
"ICICIPRULI","EQ","05-Dec-2019","        500.65","        500.70","        502.45","        490.35","        494.55","        494.90","        497.70","    1076898","           535971415.75","      15637","     501997","         46.62"
"ICICIPRULI","EQ","06-Dec-2019","        494.90","        494.00","        500.25","        489.20","        490.00","        492.45","        495.43","    1253319","           620936638.40","      20508","     515049","         41.09"
"ICICIPRULI","EQ","09-Dec-2019","        492.45","        492.75","        493.90","        484.60","        488.70","        489.65","        489.74","    1199233","           587317079.40","      22175","     424046","         35.36"
"ICICIPRULI","EQ","10-Dec-2019","        489.65","        492.00","        502.15","        483.70","        486.00","        488.45","        492.44","    3900884","          1920946925.35","      47288","    1700515","         43.59"
"ICICIPRULI","EQ","11-Dec-2019","        488.45","        490.10","        491.85","        483.60","        490.45","        490.10","        488.13","    1303947","           636498512.10","      27389","     611718","         46.91"
"ICICIPRULI","EQ","12-Dec-2019","        490.10","        494.00","        499.90","        491.45","        493.00","        493.25","        495.72","    1806219","           895378238.20","      42387","     738472","         40.88"
"ICICIPRULI","EQ","13-Dec-2019","        493.25","        496.00","        499.00","        493.45","        495.90","        495.70","        496.87","    1045943","           519698336.80","      21576","     458766","         43.86"
"ICICIPRULI","EQ","16-Dec-2019","        495.70","        497.95","        499.50","        494.60","        496.25","        496.25","        497.09","     849205","           422133621.70","      18731","     490155","         57.72"
"ICICIPRULI","EQ","17-Dec-2019","        496.25","        498.00","        502.40","        491.70","        495.85","        495.10","        496.42","    2680939","          1330858980.75","      45601","    1364491","         50.90"
"ICICIPRULI","EQ","18-Dec-2019","        495.10","        497.10","        498.65","        492.70","        497.00","        496.80","        495.94","    1391020","           689856347.35","      26514","     765451","         55.03"
"ICICIPRULI","EQ","19-Dec-2019","        496.80","        496.85","        501.20","        495.20","        497.90","        498.60","        498.29","    2393930","          1192861235.80","      33266","    1344766","         56.17"
"ICICIPRULI","EQ","20-Dec-2019","        498.60","        498.85","        500.15","        492.60","        497.20","        498.45","        496.81","    2881163","          1431392178.35","      22605","    1605756","         55.73"
"ICICIPRULI","EQ","23-Dec-2019","        498.45","        499.00","        506.90","        498.20","        503.10","        502.95","        503.24","    3900583","          1962943488.90","      50724","    2109486","         54.08"
"ICICIPRULI","EQ","24-Dec-2019","        502.95","        505.80","        505.80","        498.50","        500.05","        499.95","        500.96","    1262917","           632672976.90","      19942","     620411","         49.13"
"ICICIPRULI","EQ","26-Dec-2019","        499.95","        502.00","        502.40","        492.50","        494.60","        493.85","        496.11","    1026803","           509403730.00","      16540","     469615","         45.74"
"ICICIPRULI","EQ","27-Dec-2019","        493.85","        493.25","        494.80","        486.75","        488.45","        488.80","        488.89","    1343787","           656962246.85","      22994","     537672","         40.01"
"ICICIPRULI","EQ","30-Dec-2019","        488.80","        490.00","        491.30","        484.10","        485.30","        485.80","        486.99","    1157209","           563551410.90","      37361","     702837","         60.74"
"ICICIPRULI","EQ","31-Dec-2019","        485.80","        485.00","        487.05","        480.80","        482.05","        482.45","        483.30","    1131161","           546685220.45","      30314","     645430","         57.06"
"ICICIPRULI","EQ","01-Jan-2020","        482.45","        482.50","        484.80","        479.55","        481.15","        480.95","        481.99","     613516","           295709055.55","      11022","     277815","         45.28"
