Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
ITC,EQ,16-Oct-19,247.6,247.4,247.6,242.15,244,243.65,244.04,16063295,3920144136,152479,10943776,68.13
ITC,EQ,17-Oct-19,243.65,244,246.7,243.85,245.95,245.85,245.51,13649598,3351084508,158356,8984413,65.82
ITC,EQ,18-Oct-19,245.85,246,247.8,245.1,246.35,246.5,246.55,12833554,3164147315,103099,8972562,69.91
ITC,EQ,22-Oct-19,246.5,245,251.1,244.95,248.5,248.9,249.13,18275636,4552988881,135996,12677210,69.37
ITC,EQ,23-Oct-19,248.9,250.4,251.95,249.05,250.75,251.05,250.64,12831461,3216062840,126405,8942131,69.69
ITC,EQ,24-Oct-19,251.05,252.6,254,247.95,249.25,249.05,251.28,16791340,4219314899,148136,8706725,51.85
ITC,EQ,25-Oct-19,249.05,256.9,257.2,247,247.7,247.7,251.46,32591192,8195372592,236984,13983794,42.91
ITC,EQ,27-Oct-19,247.7,249.95,251.1,249.7,250.6,250.4,250.32,3132126,784021042.3,42658,2077229,66.32
ITC,EQ,29-Oct-19,250.4,250.95,255.1,249.55,253.1,253.25,253.11,11937562,3021507126,101270,6876990,57.61
ITC,EQ,30-Oct-19,253.25,256,264,254.3,259.2,259.4,259.52,34291157,8899326542,195917,20203473,58.92
ITC,EQ,31-Oct-19,259.4,260,262.85,256.2,258.2,257.65,259.14,16654994,4315979365,108841,9358577,56.19
ITC,EQ,1-Nov-19,257.65,259.35,263,258.75,261.5,261.3,261.29,12571588,3284777464,112841,6658745,52.97
ITC,EQ,4-Nov-19,261.3,262.95,264.95,260.05,261.05,260.75,262.44,7895272,2072023154,92784,3986383,50.49
ITC,EQ,5-Nov-19,260.75,261,264,258.6,263,262.9,261.42,10278362,2686927623,117136,5342980,51.98
ITC,EQ,6-Nov-19,262.9,262.95,263.8,260,261.75,261.35,261.74,8857419,2318339610,86602,4730676,53.41
ITC,EQ,7-Nov-19,261.35,262.9,266.3,262,265.95,265.85,264.76,14782434,3913852051,104044,8353061,56.51
ITC,EQ,8-Nov-19,265.85,264.85,265.45,260,260.75,260.5,261.73,11899353,3114365596,109003,6561742,55.14
ITC,EQ,11-Nov-19,260.5,260.6,262.35,258.8,259.05,259.45,260.02,7245151,1883902676,50079,3705334,51.14
ITC,EQ,13-Nov-19,259.45,258.9,259.25,253.15,253.7,253.85,255.69,10269356,2625819564,86272,6469354,63
ITC,EQ,14-Nov-19,253.85,254.1,255.9,253.25,253.85,253.9,254.36,8880734,2258891592,67254,4487487,50.53
ITC,EQ,15-Nov-19,253.9,254.25,255.75,250,250.65,250.65,251.81,16741465,4215729900,81190,12029502,71.85
ITC,EQ,18-Nov-19,250.65,251.45,252.25,248.75,250.6,250.75,250.64,7864919,1971228487,99701,4227162,53.75
ITC,EQ,19-Nov-19,250.75,251.75,251.8,248.8,249.25,249.3,249.47,12152981,3031825058,98376,8845459,72.78
