"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","16-Oct-2019","       1615.60","       1615.00","       1623.30","       1592.60","       1605.00","       1605.55","       1612.87","    2686333","          4332700156.70","      80693","    1284577","         47.82"
"KOTAKBANK","EQ","17-Oct-2019","       1605.55","       1610.00","       1613.60","       1586.50","       1602.00","       1604.55","       1600.11","    2076349","          3322385491.55","      78587","     720510","         34.70"
"KOTAKBANK","EQ","18-Oct-2019","       1604.55","       1603.80","       1619.60","       1591.00","       1616.00","       1615.25","       1606.72","    2357607","          3788005106.35","      69717","    1201242","         50.95"
"KOTAKBANK","EQ","22-Oct-2019","       1615.25","       1626.85","       1643.00","       1592.00","       1626.80","       1628.85","       1615.55","    4895082","          7908242714.50","     168454","    1287420","         26.30"
"KOTAKBANK","EQ","23-Oct-2019","       1628.85","       1630.00","       1638.70","       1603.30","       1610.95","       1613.65","       1619.39","    3085230","          4996204617.85","     119370","    1238271","         40.14"
"KOTAKBANK","EQ","24-Oct-2019","       1613.65","       1619.90","       1629.90","       1597.55","       1613.85","       1613.20","       1618.27","    1600001","          2589240580.15","      51232","     426207","         26.64"
"KOTAKBANK","EQ","25-Oct-2019","       1613.20","       1613.85","       1613.85","       1569.15","       1586.10","       1588.60","       1589.28","    2867020","          4556494887.45","      84528","    1167087","         40.71"
"KOTAKBANK","EQ","27-Oct-2019","       1588.60","       1594.00","       1601.00","       1590.15","       1593.15","       1593.00","       1594.75","     197634","           315177157.30","       6555","      78159","         39.55"
"KOTAKBANK","EQ","29-Oct-2019","       1593.00","       1597.40","       1597.40","       1568.00","       1573.80","       1575.55","       1578.95","    3002530","          4740856137.90","      95398","    1482067","         49.36"
"KOTAKBANK","EQ","30-Oct-2019","       1575.55","       1579.90","       1588.55","       1573.80","       1576.25","       1578.90","       1581.43","    1677269","          2652482556.75","      55866","     744712","         44.40"
"KOTAKBANK","EQ","31-Oct-2019","       1578.90","       1583.95","       1605.00","       1566.00","       1567.25","       1574.50","       1587.51","    2481421","          3939282685.55","      67608","    1014845","         40.90"
"KOTAKBANK","EQ","01-Nov-2019","       1574.50","       1572.00","       1585.95","       1563.00","       1581.00","       1579.90","       1576.58","    2219737","          3499603769.70","      68609","    1172655","         52.83"
