"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBILIFE","EQ","16-Oct-2019","        838.05","        836.50","        892.50","        832.00","        880.00","        877.35","        875.58","    3634345","          3182157016.65","     141694","    2054502","         56.53"
"SBILIFE","EQ","17-Oct-2019","        877.35","        880.00","        928.50","        880.00","        903.60","        902.90","        912.29","    3687636","          3364181618.15","     167446","    2023233","         54.87"
"SBILIFE","EQ","18-Oct-2019","        902.90","        905.80","        930.00","        899.00","        927.10","        925.95","        914.71","    1819540","          1664358720.95","     123937","     973254","         53.49"
"SBILIFE","EQ","22-Oct-2019","        925.95","        929.20","        997.50","        929.20","        989.90","        989.15","        969.48","    2040975","          1978679357.60","     100090","     930628","         45.60"
"SBILIFE","EQ","23-Oct-2019","        989.15","        994.00","       1012.30","        970.15","        984.00","        985.95","        992.03","    1357514","          1346694223.95","      96939","     531826","         39.18"
"SBILIFE","EQ","24-Oct-2019","        985.95","        991.40","        993.95","        954.65","        969.00","        969.65","        974.42","     982596","           957458560.90","      60352","     518152","         52.73"
"SBILIFE","EQ","25-Oct-2019","        969.65","        974.00","       1000.00","        965.25","        979.95","        982.15","        985.72","     975234","           961308801.55","      60895","     492563","         50.51"
"SBILIFE","EQ","27-Oct-2019","        982.15","        990.00","        999.00","        977.15","        998.00","        993.95","        990.83","     150916","           149532612.35","       7303","      61052","         40.45"
"SBILIFE","EQ","29-Oct-2019","        993.95","        998.50","       1020.00","        981.00","       1018.00","       1014.35","       1004.59","     880342","           884384202.50","      61519","     377894","         42.93"
"SBILIFE","EQ","30-Oct-2019","       1014.35","       1016.00","       1030.00","        976.10","       1000.50","        999.80","        983.15","    7610404","          7482167453.90","      99552","    6298736","         82.76"
"SBILIFE","EQ","31-Oct-2019","        999.80","       1006.00","       1013.30","        987.00","        993.30","        991.50","        997.76","     849468","           847563918.05","      59507","     448252","         52.77"
"SBILIFE","EQ","01-Nov-2019","        991.50","        993.30","       1009.00","        993.30","        996.45","        997.50","       1001.01","     655253","           655916776.45","      60723","     422767","         64.52"
"SBILIFE","EQ","04-Nov-2019","        997.50","       1003.00","       1003.10","        989.70","       1002.00","        998.70","        997.25","     875743","           873334763.45","      65648","     653279","         74.60"
"SBILIFE","EQ","05-Nov-2019","        998.70","       1000.00","       1003.00","        966.10","        969.65","        969.80","        981.52","    1230007","          1207276881.65","     103509","     909335","         73.93"
"SBILIFE","EQ","06-Nov-2019","        969.80","        974.45","        980.00","        941.55","        969.00","        968.95","        960.82","    1420970","          1365299038.90","      85551","     701110","         49.34"
"SBILIFE","EQ","07-Nov-2019","        968.95","        973.40","        991.00","        968.20","        987.70","        986.45","        982.54","    1351432","          1327834530.15","      71426","     813911","         60.23"
"SBILIFE","EQ","08-Nov-2019","        986.45","       1006.00","       1022.00","        976.50","        983.50","        982.20","        994.56","    5656687","          5625922773.00","     277773","    3283140","         58.04"
"SBILIFE","EQ","11-Nov-2019","        982.20","        982.00","        982.00","        968.45","        970.25","        969.95","        972.94","    2078020","          2021792186.70","     164757","    1784944","         85.90"
"SBILIFE","EQ","13-Nov-2019","        969.95","        984.50","       1000.95","        966.20","        992.90","        988.15","        982.97","    4039409","          3970602181.75","     169687","    2375317","         58.80"
"SBILIFE","EQ","14-Nov-2019","        988.15","        999.00","       1013.00","        984.90","       1004.00","        999.90","        997.74","    3441700","          3433927748.90","     134100","    2378036","         69.09"
"SBILIFE","EQ","15-Nov-2019","        999.90","       1008.20","       1026.00","        995.45","       1002.80","       1002.85","       1009.46","    2687762","          2713176456.65","     171721","    1854274","         68.99"
"SBILIFE","EQ","18-Nov-2019","       1002.85","       1004.90","       1013.00","        996.00","        999.00","       1000.05","       1004.89","    2144563","          2155044817.05","     133424","    1432362","         66.79"
"SBILIFE","EQ","19-Nov-2019","       1000.05","        954.95","        970.00","        930.00","        936.95","        936.55","        941.58","   60449782","         56918057098.50","     397790","   30981721","         51.25"
"SBILIFE","EQ","20-Nov-2019","        936.55","        940.00","        948.70","        936.10","        938.65","        939.70","        942.72","    2976893","          2806381095.90","      95009","    1422879","         47.80"
"SBILIFE","EQ","21-Nov-2019","        939.70","        942.45","        945.45","        916.00","        929.95","        929.60","        932.82","    2642185","          2464691249.95","      85734","    1506667","         57.02"
"SBILIFE","EQ","22-Nov-2019","        929.60","        931.00","        945.75","        931.00","        943.90","        942.65","        939.10","    3125980","          2935615544.85","     121081","    2151841","         68.84"
"SBILIFE","EQ","25-Nov-2019","        942.65","        943.50","        954.40","        943.50","        949.15","        951.60","        949.99","    3604001","          3423778274.60","     224120","    2707483","         75.12"
"SBILIFE","EQ","26-Nov-2019","        951.60","        957.40","        977.95","        937.85","        961.10","        958.95","        957.57","   43473998","         41629424060.75","     368973","   35201037","         80.97"
"SBILIFE","EQ","27-Nov-2019","        958.95","        964.00","        965.20","        943.20","        946.10","        948.20","        949.74","    1542111","          1464606956.70","     118504","     800877","         51.93"
"SBILIFE","EQ","28-Nov-2019","        948.20","        953.85","        972.70","        948.20","        970.15","        971.15","        964.46","    1885171","          1818180543.30","      81757","    1176791","         62.42"
"SBILIFE","EQ","29-Nov-2019","        971.15","        970.00","        970.00","        955.05","        959.25","        960.05","        961.21","    1071258","          1029702175.90","      71325","     711989","         66.46"
"SBILIFE","EQ","02-Dec-2019","        960.05","        959.15","        959.15","        938.30","        944.00","        943.85","        947.21","     643539","           609568487.85","      54821","     393257","         61.11"
"SBILIFE","EQ","03-Dec-2019","        943.85","        946.10","        966.00","        946.10","        962.00","        963.40","        957.61","    1612054","          1543713511.75","      84934","    1171925","         72.70"
"SBILIFE","EQ","04-Dec-2019","        963.40","        962.80","        975.00","        960.05","        969.70","        972.25","        970.37","    1122303","          1089043701.10","      43432","     689024","         61.39"
"SBILIFE","EQ","05-Dec-2019","        972.25","        969.00","        974.50","        955.00","        969.95","        966.40","        964.88","     814043","           785455737.35","      35649","     515468","         63.32"
"SBILIFE","EQ","06-Dec-2019","        966.40","        971.00","        974.00","        945.20","        963.00","        964.20","        958.54","    1235405","          1184181657.10","      67858","     736378","         59.61"
"SBILIFE","EQ","09-Dec-2019","        964.20","        964.80","        964.80","        938.40","        944.40","        942.00","        950.69","     861577","           819090829.50","      44024","     537282","         62.36"
"SBILIFE","EQ","10-Dec-2019","        942.00","        950.00","        968.00","        947.00","        949.10","        949.85","        955.71","    1610114","          1538796948.25","      70175","    1012884","         62.91"
"SBILIFE","EQ","11-Dec-2019","        949.85","        950.00","        971.95","        924.50","        968.00","        966.55","        951.56","    1616587","          1538273195.50","      86753","    1052212","         65.09"
"SBILIFE","EQ","12-Dec-2019","        966.55","        971.00","        971.00","        955.65","        959.25","        960.40","        960.91","     862822","           829094033.65","      53713","     619737","         71.83"
"SBILIFE","EQ","13-Dec-2019","        960.40","        964.90","        982.70","        963.25","        974.90","        974.90","        976.43","    1119572","          1093188987.55","      50600","     703154","         62.81"
"SBILIFE","EQ","16-Dec-2019","        974.90","        973.80","        979.80","        963.90","        968.90","        969.55","        970.76","     526157","           510773228.90","      47038","     361954","         68.79"
"SBILIFE","EQ","17-Dec-2019","        969.55","        975.00","        978.45","        968.00","        970.50","        972.55","        972.58","     822269","           799722247.90","      59389","     630840","         76.72"
"SBILIFE","EQ","18-Dec-2019","        972.55","        975.00","        976.60","        959.00","        965.00","        964.75","        964.86","     628845","           606747907.35","      29735","     446057","         70.93"
"SBILIFE","EQ","19-Dec-2019","        964.75","        968.60","        975.05","        965.45","        968.05","        969.75","        969.84","     906299","           878969164.35","      37800","     680186","         75.05"
"SBILIFE","EQ","20-Dec-2019","        969.75","        972.00","       1008.05","        972.00","       1005.60","        992.75","        991.77","   10219499","         10135360537.55","      77641","    7306173","         71.49"
"SBILIFE","EQ","23-Dec-2019","        992.75","       1002.00","       1011.70","        987.55","        997.00","        996.80","       1002.11","    1347986","          1350834898.15","      36322","    1008522","         74.82"
"SBILIFE","EQ","24-Dec-2019","        996.80","        998.00","        999.90","        985.00","        999.20","        994.75","        990.81","     716972","           710382706.60","      27208","     449340","         62.67"
"SBILIFE","EQ","26-Dec-2019","        994.75","        998.25","        999.70","        988.10","        990.55","        991.00","        993.74","     335933","           333831615.15","      22160","     150054","         44.67"
"SBILIFE","EQ","27-Dec-2019","        991.00","        988.00","        991.50","        977.55","        988.10","        988.65","        983.66","     438117","           430956857.30","      26039","     215264","         49.13"
"SBILIFE","EQ","30-Dec-2019","        988.65","        988.90","        991.45","        972.80","        975.80","        976.35","        977.80","     390678","           382006669.45","      26321","     227452","         58.22"
"SBILIFE","EQ","31-Dec-2019","        976.35","        976.00","        980.00","        958.15","        961.10","        961.60","        969.08","     403539","           391060922.50","      26963","     246426","         61.07"
"SBILIFE","EQ","01-Jan-2020","        961.60","        965.00","        980.00","        961.60","        975.75","        976.40","        971.17","     349251","           339182868.25","      12529","     143439","         41.07"
"SBILIFE","EQ","02-Jan-2020","        976.40","        975.70","        975.70","        966.00","        969.75","        969.35","        969.21","     335765","           325426941.10","      19727","     211012","         62.85"
"SBILIFE","EQ","03-Jan-2020","        969.35","        970.00","        982.80","        969.00","        975.10","        975.10","        975.03","     451217","           439949256.00","      30280","     274008","         60.73"
