Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
CASTROLIND,EQ,16-Oct-19,133.8,134.45,136.55,128.55,130.3,130.15,133.45,4564449,609107099.6,30741,2218121,48.6
CASTROLIND,EQ,17-Oct-19,130.15,130.85,132.95,129.8,132.45,132.4,131.63,2113586,278215343.5,12329,1007835,47.68
CASTROLIND,EQ,18-Oct-19,132.4,132.4,136.45,131.5,133.75,133.8,134.19,2359828,316666385.2,19479,1019453,43.2
CASTROLIND,EQ,22-Oct-19,133.8,133.8,135,132.6,134.7,134.5,133.75,1605263,214707563.9,22097,517750,32.25
CASTROLIND,EQ,23-Oct-19,134.5,134.85,135.35,133,134.7,134,134.2,1212908,162776271.3,8013,438216,36.13
CASTROLIND,EQ,24-Oct-19,134,135.5,145.65,135,144.2,144.6,141.26,9153508,1293066205,67300,2424147,26.48
CASTROLIND,EQ,25-Oct-19,144.6,144.6,155,143.1,154.1,154.1,150.74,6813343,1027074203,58268,2382909,34.97
CASTROLIND,EQ,27-Oct-19,154.1,154.2,155.35,151,152.5,151.8,153.05,417488,63896856.4,5378,120478,28.86
CASTROLIND,EQ,29-Oct-19,151.8,152,153.95,150.1,150.55,150.55,151.41,1294497,196002061.3,12407,415018,32.06
CASTROLIND,EQ,30-Oct-19,150.55,151.3,159.4,150.6,153.5,153.3,155.72,4523284,704378383.5,31431,1232380,27.25
CASTROLIND,EQ,31-Oct-19,153.3,153.3,154.85,150.2,151,152.15,152.39,2071502,315670489.9,21959,963611,46.52
CASTROLIND,EQ,1-Nov-19,152.15,152.15,157,151.5,155.05,155.05,154.89,1567869,242844550.8,16779,622664,39.71
CASTROLIND,EQ,4-Nov-19,155.05,154.5,157.45,149.9,150.1,150.55,153.31,3225877,494543415,23611,680767,21.1
CASTROLIND,EQ,5-Nov-19,150.55,150.05,152.25,148.25,151.8,150.75,150.55,1034058,155680273.7,7741,218440,21.12
CASTROLIND,EQ,6-Nov-19,150.75,151.65,155,150.75,154.3,153.9,153.05,1005213,153852766.7,6656,320690,31.9
CASTROLIND,EQ,7-Nov-19,153.9,155,155.55,151.8,152.75,153,153.21,877152,134385095.2,5734,190532,21.72
