Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
COLPAL,EQ,16-Oct-19,1557.6,1551,1557.95,1520.2,1525.2,1526,1531.83,659434,1010144079,59813,356756,54.1
COLPAL,EQ,17-Oct-19,1526,1529.9,1535.2,1514.2,1526.1,1530.4,1528.26,526950,805317485.6,29663,303895,57.67
COLPAL,EQ,18-Oct-19,1530.4,1535,1547.4,1528.95,1543,1540.8,1540.67,431992,665557718.4,26826,256987,59.49
COLPAL,EQ,22-Oct-19,1540.8,1546,1554.9,1524,1538.5,1533.2,1539.92,437466,673662170.4,28294,235426,53.82
COLPAL,EQ,23-Oct-19,1533.2,1542,1586.7,1533,1564,1560.2,1565.23,723368,1132234113,41129,290497,40.16
COLPAL,EQ,24-Oct-19,1560.2,1565,1569.65,1540.95,1564,1564.05,1558.76,586741,914589102.7,39842,154541,26.34
COLPAL,EQ,25-Oct-19,1564.05,1564,1569,1496.85,1519.05,1519.55,1530.83,1352011,2069697321,85534,615602,45.53
COLPAL,EQ,27-Oct-19,1519.55,1532.7,1534.95,1512.9,1528,1527.9,1526.08,66683,101763507,4377,23329,34.98
COLPAL,EQ,29-Oct-19,1527.9,1535,1535,1499.85,1514.9,1513,1520.43,386782,588076626.5,32079,214747,55.52
COLPAL,EQ,30-Oct-19,1513,1521.65,1539.4,1510.05,1535,1535.25,1522.45,440097,670024804.3,46778,300325,68.24
COLPAL,EQ,31-Oct-19,1535.25,1540.05,1560,1534,1550,1549.2,1543.63,372636,575212497.1,29608,202845,54.44
COLPAL,EQ,1-Nov-19,1549.2,1558.8,1564.5,1528,1529.9,1534.25,1543.51,460658,711030354.9,51677,315094,68.4
COLPAL,EQ,4-Nov-19,1534.25,1530,1554.95,1528,1550.75,1552.45,1542.19,450746,695137163.2,35838,226325,50.21
COLPAL,EQ,5-Nov-19,1552.45,1544.9,1549.1,1513.15,1522.05,1522.95,1524.42,647110,986465239.1,39294,361198,55.82
COLPAL,EQ,6-Nov-19,1522.95,1523.1,1557,1508.15,1546.35,1547.3,1538.37,759900,1169010782,46532,362090,47.65
COLPAL,EQ,7-Nov-19,1547.3,1549,1611,1535,1600.2,1601.3,1585.53,1368053,2169086601,54113,577459,42.21
COLPAL,EQ,8-Nov-19,1601.3,1623,1642.6,1562,1576,1579.65,1597.33,2829810,4520152822,136869,1412252,49.91
COLPAL,EQ,11-Nov-19,1579.65,1575.65,1611.75,1575.65,1592.15,1589.85,1597.6,697289,1113989227,66701,330195,47.35
COLPAL,EQ,13-Nov-19,1589.85,1599,1602.6,1547.7,1560,1560.8,1568.73,1042685,1635693776,65578,667226,63.99
COLPAL,EQ,14-Nov-19,1560.8,1555,1559.1,1539.95,1545,1547.2,1547.97,601227,930683995.6,40036,394269,65.58
COLPAL,EQ,15-Nov-19,1547.2,1550,1589.95,1538.05,1570,1578.9,1564.28,806638,1261809369,39748,436470,54.11
COLPAL,EQ,18-Nov-19,1578.9,1581.65,1589.8,1535.9,1551,1548.65,1559.16,646917,1008649430,33603,290384,44.89
COLPAL,EQ,19-Nov-19,1548.65,1558.25,1564.1,1530.5,1533.1,1535.35,1545.06,545676,843104192.1,30879,319792,58.6
COLPAL,EQ,20-Nov-19,1535.35,1531,1552.35,1523.05,1533,1542.25,1540.89,673815,1038271948,45023,360619,53.52
COLPAL,EQ,21-Nov-19,1542.25,1539.4,1545.5,1508.1,1509,1512.05,1527.49,591075,902858600.8,33091,304844,51.57
COLPAL,EQ,22-Nov-19,1512.05,1515,1517.6,1480.05,1502.3,1504.5,1498.15,979025,1466728163,65987,503434,51.42
COLPAL,EQ,25-Nov-19,1504.5,1503,1527.85,1500.5,1515.7,1514.25,1515.78,774523,1174008466,65086,477071,61.6
COLPAL,EQ,26-Nov-19,1514.25,1523.7,1534.3,1467.05,1474,1493.9,1496.96,7265730,10876509280,196613,5938614,81.73
COLPAL,EQ,27-Nov-19,1493.9,1484,1487.9,1470.1,1477.1,1474.65,1478.08,741239,1095607891,50451,398504,53.76
COLPAL,EQ,28-Nov-19,1474.65,1480,1485,1471.35,1479.5,1476.75,1477.41,408225,603116646.8,34076,248630,60.91
COLPAL,EQ,29-Nov-19,1476.75,1482,1486.6,1453.85,1470.6,1474.2,1473.93,700482,1032463807,42114,326334,46.59
COLPAL,EQ,2-Dec-19,1474.2,1470,1474.2,1440,1450,1451.5,1454.49,706657,1027825314,41352,428779,60.68
COLPAL,EQ,3-Dec-19,1451.5,1458.95,1465.7,1440.5,1450,1448.6,1452.6,400611,581926291.5,23496,202612,50.58
COLPAL,EQ,4-Dec-19,1448.6,1450.1,1470.95,1443.8,1456,1455.8,1459.16,493022,719398319.8,28978,274621,55.7
COLPAL,EQ,5-Dec-19,1455.8,1464,1465.8,1446.15,1449,1450.8,1454.04,426270,619812620.2,29634,238253,55.89
COLPAL,EQ,6-Dec-19,1450.8,1453,1494,1453,1479.9,1480.6,1481.64,895641,1327020053,31064,390066,43.55
COLPAL,EQ,9-Dec-19,1480.6,1488.6,1493.7,1457.5,1466.85,1466.8,1469.74,471960,693657300.8,20937,166826,35.35
COLPAL,EQ,10-Dec-19,1466.8,1473.5,1478,1450.1,1454.5,1454.45,1462.59,378951,554251496.1,15734,192838,50.89
COLPAL,EQ,11-Dec-19,1454.45,1451.5,1481.4,1451.5,1472.2,1473.55,1470.59,526470,774220258.9,29835,284125,53.97
COLPAL,EQ,12-Dec-19,1473.55,1486.6,1499.65,1471,1473.7,1476.05,1486.52,692151,1028898165,38465,296519,42.84
COLPAL,EQ,13-Dec-19,1476.05,1485.25,1485.25,1465.75,1475,1476.75,1473.71,357121,526292216.7,21390,161590,45.25
COLPAL,EQ,16-Dec-19,1476.75,1471,1492,1459.3,1466,1461.7,1472.74,373285,549751375.7,19758,202373,54.21
COLPAL,EQ,17-Dec-19,1461.7,1470,1480,1461.1,1467,1466.6,1469.64,387417,569363430.2,36320,238716,61.62
COLPAL,EQ,18-Dec-19,1466.6,1469.7,1491.45,1467,1483.5,1482.15,1482.78,602276,893042909.7,29121,262023,43.51
COLPAL,EQ,19-Dec-19,1482.15,1473.05,1489.95,1473.05,1484.7,1483.95,1484.53,352774,523704446.3,14994,211006,59.81
COLPAL,EQ,20-Dec-19,1483.95,1484.9,1488.4,1458.4,1479,1475.1,1471.75,903982,1330438269,20327,613947,67.92
COLPAL,EQ,23-Dec-19,1475.1,1470.1,1490.5,1465,1474.4,1475.65,1473.74,259371,382245212.4,10472,131586,50.73
COLPAL,EQ,24-Dec-19,1475.65,1469,1476,1468.95,1471.85,1474.2,1473.84,134831,198719396.1,12174,61628,45.71
COLPAL,EQ,26-Dec-19,1474.2,1478,1478,1456,1458.6,1458.6,1465.27,209941,307620669.5,14316,79137,37.69
COLPAL,EQ,27-Dec-19,1458.6,1458.5,1464,1449.35,1454.35,1454.35,1454.35,326471,474804517.4,18287,181527,55.6
COLPAL,EQ,30-Dec-19,1454.35,1460,1472.5,1450.9,1466,1465.7,1463.37,312831,457787773.5,11672,153446,49.05
COLPAL,EQ,31-Dec-19,1465.7,1460,1472.95,1457,1457,1462.9,1464.22,189160,276972498.9,11280,100382,53.07
COLPAL,EQ,1-Jan-20,1462.9,1455.65,1470,1454.05,1463,1461.1,1461.95,184535,269781156.4,9318,89529,48.52
COLPAL,EQ,2-Jan-20,1461.1,1466.9,1466.9,1454.25,1461.45,1459.9,1459.17,224986,328292732.3,15748,133811,59.48
COLPAL,EQ,3-Jan-20,1459.9,1463,1474.95,1457,1464.95,1460,1465.39,471643,691140563.1,26134,258066,54.72
COLPAL,EQ,6-Jan-20,1460,1457,1459.75,1430,1435.4,1435.45,1436.23,309711,444816440,15764,133917,43.24
COLPAL,EQ,7-Jan-20,1435.45,1441.3,1453.1,1437.35,1447.5,1450.35,1448.27,226452,327964117.9,10652,98461,43.48
COLPAL,EQ,8-Jan-20,1450.35,1432,1455.2,1432,1450,1451,1447.12,151634,219432595.1,13143,70208,46.3
COLPAL,EQ,9-Jan-20,1451,1458.25,1466.85,1452,1456.35,1459.4,1460.26,254061,370994860.8,14717,120449,47.41
COLPAL,EQ,10-Jan-20,1459.4,1459.4,1466,1453.1,1459.15,1458.35,1458.29,241536,352230678.2,26710,140909,58.34
COLPAL,EQ,13-Jan-20,1458.35,1459,1487.5,1459,1476.65,1477.55,1478.11,1006686,1487996533,44282,521751,51.83
COLPAL,EQ,14-Jan-20,1477.55,1480,1507,1474.95,1506,1502.7,1493.58,1223576,1827510525,54507,764173,62.45
COLPAL,EQ,15-Jan-20,1502.7,1508.8,1514,1494.35,1506.05,1508.95,1504.18,648059,974799229.1,28863,282790,43.64
COLPAL,EQ,16-Jan-20,1508.95,1513.95,1518.65,1498.1,1508.5,1509.35,1510.4,407701,615792438.7,40255,228136,55.96
COLPAL,EQ,17-Jan-20,1509.35,1511.95,1518.6,1506.9,1511,1509.95,1512.04,334414,505647281.1,35025,192833,57.66
COLPAL,EQ,20-Jan-20,1509.95,1515,1525,1495,1500.9,1501.25,1514.82,405916,614890689.2,25168,170920,42.11
COLPAL,EQ,21-Jan-20,1501.25,1499.45,1499.45,1483.2,1486.8,1487.15,1490.32,220146,328087863.7,17627,116377,52.86
COLPAL,EQ,22-Jan-20,1487.15,1487,1494.15,1461.2,1478,1478,1474.79,345273,509203791.2,18174,157117,45.51
