Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HINDUNILVR,EQ,16-Oct-19,2064.4,2065.3,2080,2052.6,2078.95,2071,2068.81,1661705,3437752743,102952,964878,58.07
HINDUNILVR,EQ,17-Oct-19,2071,2067.5,2108,2061.95,2106.5,2103.85,2091.57,2001245,4185743149,78047,1160652,58
HINDUNILVR,EQ,18-Oct-19,2103.85,2100,2116,2090.7,2108,2106.85,2107.77,2202270,4641876858,77935,1454996,66.07
HINDUNILVR,EQ,22-Oct-19,2106.85,2120,2149,2112,2131.7,2127.35,2132.45,1737401,3704926872,101380,1321300,76.05
HINDUNILVR,EQ,23-Oct-19,2127.35,2119.45,2137.45,2098,2136.3,2133.25,2114.55,1535786,3247496570,87953,939348,61.16
HINDUNILVR,EQ,24-Oct-19,2133.25,2141,2150,2118.05,2140,2133.35,2131.04,973453,2074465587,77257,552236,56.73
HINDUNILVR,EQ,25-Oct-19,2133.35,2147.55,2156.5,2129.3,2141,2145.1,2143.62,1612038,3455597300,100871,1152788,71.51
HINDUNILVR,EQ,27-Oct-19,2145.1,2148,2148,2134.5,2141.5,2139.75,2140.03,85187,182303137.5,5513,44202,51.89
HINDUNILVR,EQ,29-Oct-19,2139.75,2135,2163.95,2111.4,2163,2160.2,2139.37,1229516,2630386179,77357,685343,55.74
HINDUNILVR,EQ,30-Oct-19,2160.2,2180,2180,2142,2172.35,2169.4,2158.99,1195298,2580630746,72528,708629,59.28
HINDUNILVR,EQ,31-Oct-19,2169.4,2165,2187.25,2159.3,2180.5,2175.35,2170.86,1752830,3805147462,69028,1222871,69.77
HINDUNILVR,EQ,1-Nov-19,2175.35,2165.1,2184.3,2146.4,2178,2179.35,2165.9,1609685,3486413221,79428,965135,59.96
HINDUNILVR,EQ,4-Nov-19,2179.35,2179.35,2186.85,2149.8,2154.45,2158.15,2164.1,1523698,3297429336,84041,1090967,71.6
HINDUNILVR,EQ,5-Nov-19,2158.15,2153.5,2175.75,2143.15,2171,2172.15,2160.7,2167085,4682424036,85182,1580141,72.92
HINDUNILVR,EQ,6-Nov-19,2172.15,2166,2184,2155,2184,2179.45,2172.91,1093243,2375516594,48572,734192,67.16
HINDUNILVR,EQ,7-Nov-19,2179.45,2190,2190,2128,2140.95,2138.25,2146.51,1970785,4230301210,86447,1363373,69.18
HINDUNILVR,EQ,8-Nov-19,2138.25,2135,2145.15,2083,2085,2086.4,2098.32,1537851,3226907744,85573,915681,59.54
HINDUNILVR,EQ,11-Nov-19,2086.4,2081.3,2100.05,2068.05,2080,2081.35,2079.54,1050170,2183865345,65129,634180,60.39
HINDUNILVR,EQ,13-Nov-19,2081.35,2084,2094.9,2072.45,2091.1,2091,2087.22,868433,1812612799,56467,541507,62.35
HINDUNILVR,EQ,14-Nov-19,2091,2090.6,2090.6,2061.45,2069,2069.05,2069.92,1291198,2672673509,68179,961430,74.46
HINDUNILVR,EQ,15-Nov-19,2069.05,2062.25,2099,2050.55,2057.45,2057.7,2072.11,958290,1985681282,55498,532558,55.57
HINDUNILVR,EQ,18-Nov-19,2057.7,2059.8,2075.35,2038,2059.3,2056.2,2050.82,1200573,2462163929,59248,816669,68.02
HINDUNILVR,EQ,19-Nov-19,2056.2,2060.05,2060.05,2030,2039,2037.75,2038.18,1413218,2880397025,71762,1028850,72.8
HINDUNILVR,EQ,20-Nov-19,2037.75,2044,2052.85,2017.05,2026,2026.5,2031.2,989673,2010219913,56055,560791,56.66
HINDUNILVR,EQ,21-Nov-19,2026.5,2027,2059.95,2017,2047,2048.65,2038.85,1397175,2848632892,76846,838909,60.04
HINDUNILVR,EQ,22-Nov-19,2048.65,2050,2053.2,2008,2030.8,2028.35,2025.73,835864,1693237620,49392,446811,53.45
HINDUNILVR,EQ,25-Nov-19,2028.35,2022.1,2066.95,2022.1,2057.9,2062.4,2051.88,862520,1769791219,46905,440151,51.03
HINDUNILVR,EQ,26-Nov-19,2062.4,2059,2080.75,2032.3,2063.45,2058.35,2054.71,3188224,6550883032,97311,2594752,81.39
HINDUNILVR,EQ,27-Nov-19,2058.35,2062.55,2099.9,2055.85,2090,2093.25,2081.5,1259986,2622658210,92930,824313,65.42
HINDUNILVR,EQ,28-Nov-19,2093.25,2097.95,2098.35,2067,2081.8,2087.15,2082.52,1026831,2138392187,55734,560633,54.6
HINDUNILVR,EQ,29-Nov-19,2087.15,2084,2084.5,2031,2034,2035.3,2047.18,1298616,2658497359,106420,810640,62.42
HINDUNILVR,EQ,2-Dec-19,2035.3,2038,2062,2029.25,2046.9,2043.2,2043.88,1600494,3271224048,98849,972383,60.76
HINDUNILVR,EQ,3-Dec-19,2043.2,2041,2053.1,2020.15,2026,2028.45,2030.37,1199012,2434432865,58240,783823,65.37
HINDUNILVR,EQ,4-Dec-19,2028.45,2027,2052,2022,2043.45,2048,2040.18,1046309,2134662423,70684,689813,65.93
HINDUNILVR,EQ,5-Dec-19,2048,2047.8,2047.8,2027.3,2037.2,2037.45,2036.49,961085,1957237214,54816,592860,61.69
HINDUNILVR,EQ,6-Dec-19,2037.45,2044,2049,2022,2027.8,2026.05,2032.45,657658,1336660247,47963,357532,54.36
HINDUNILVR,EQ,9-Dec-19,2026.05,2030,2032.05,1991.2,2010.3,2008.15,2003.64,964222,1931951442,57641,446280,46.28
HINDUNILVR,EQ,10-Dec-19,2008.15,2014.9,2041.6,2011,2030.2,2025.35,2029.37,1610623,3268544856,89588,1026252,63.72
HINDUNILVR,EQ,11-Dec-19,2025.35,2027.9,2030,1998,2007.55,2010.45,2009.25,967708,1944367324,64771,534716,55.26
HINDUNILVR,EQ,12-Dec-19,2010.45,2010,2034.5,2002,2007,2007.35,2012.05,955318,1922150524,105968,595260,62.31
HINDUNILVR,EQ,13-Dec-19,2007.35,2018.45,2024,2000,2005.9,2006.2,2011.72,1212988,2440188472,56831,747763,61.65
HINDUNILVR,EQ,16-Dec-19,2006.2,2000,2011,1968.15,1974.4,1974.75,1979.21,1683941,3332866752,85866,948353,56.32
HINDUNILVR,EQ,17-Dec-19,1974.75,1979,1994.95,1950,1967,1961.35,1968.29,2189167,4308924255,117668,1216357,55.56
HINDUNILVR,EQ,18-Dec-19,1961.35,1960,1966.6,1907.35,1929.8,1928.55,1922.57,3986106,7663549648,220913,2203828,55.29
HINDUNILVR,EQ,19-Dec-19,1928.55,1931.9,1966.4,1930.05,1947.75,1951.1,1952.06,2035095,3972619518,97816,999814,49.13
HINDUNILVR,EQ,20-Dec-19,1951.1,1950,1959.9,1931.45,1950,1943.1,1946.44,2169685,4223166611,82176,1365055,62.91
HINDUNILVR,EQ,23-Dec-19,1943.1,1949.25,1962,1944.4,1950,1950.4,1951.53,807062,1575006079,38665,433364,53.7
HINDUNILVR,EQ,24-Dec-19,1950.4,1952,1964.8,1940.4,1946.5,1946.4,1952.38,790621,1543591573,45173,321351,40.65
HINDUNILVR,EQ,26-Dec-19,1946.4,1950.8,1954.25,1938.5,1943.8,1944.95,1945.35,862164,1677214207,64995,459757,53.33
HINDUNILVR,EQ,27-Dec-19,1944.95,1946.9,1954.45,1934,1948.2,1949.9,1945.06,937907,1824285296,59856,578438,61.67
HINDUNILVR,EQ,30-Dec-19,1949.9,1949.9,1954.25,1927.5,1939.15,1937.25,1937.89,1117498,2165586738,72056,686968,61.47
HINDUNILVR,EQ,31-Dec-19,1937.25,1940,1946.6,1920.1,1920.3,1923,1931.11,706593,1364511821,38262,360392,51
HINDUNILVR,EQ,1-Jan-20,1923,1930,1939.9,1918,1938.25,1936.55,1932.33,543035,1049322738,26908,238901,43.99
HINDUNILVR,EQ,2-Jan-20,1936.55,1940,1952.6,1930,1941,1938.05,1939.45,663275,1286386216,65620,353768,53.34
HINDUNILVR,EQ,3-Jan-20,1938.05,1937.9,1940,1918.75,1932,1927.45,1926.53,1598825,3080189230,85043,1117706,69.91
HINDUNILVR,EQ,6-Jan-20,1927.45,1927.35,1929.4,1911.25,1918.5,1915.45,1917.28,683129,1309752442,50595,303870,44.48
HINDUNILVR,EQ,7-Jan-20,1915.45,1919.25,1931,1918,1922,1920.7,1923.6,808935,1556069610,49424,458047,56.62
HINDUNILVR,EQ,8-Jan-20,1920.7,1910,1936.05,1906.45,1932,1929.35,1919.71,1889685,3627646688,75078,1467833,77.68
HINDUNILVR,EQ,9-Jan-20,1929.35,1941.55,1947.3,1931,1937.7,1935.05,1938.35,1544334,2993460858,110313,1149427,74.43
HINDUNILVR,EQ,10-Jan-20,1935.05,1940.9,1957.5,1931.65,1955.5,1954,1946.83,1003336,1953325015,75262,617533,61.55
HINDUNILVR,EQ,13-Jan-20,1954,1961,1997.85,1957,1994.9,1994.85,1981.57,2040089,4042588264,98419,1223943,59.99
HINDUNILVR,EQ,14-Jan-20,1994.85,1995.5,2014.95,1982.4,2013,2008.8,2002.8,1610737,3225984398,94942,1003279,62.29
HINDUNILVR,EQ,15-Jan-20,2008.8,2011.15,2027,1997.35,2017.4,2021.65,2009.87,1559491,3134381832,62989,1213624,77.82
HINDUNILVR,EQ,16-Jan-20,2021.65,2022,2054.7,2016.1,2046,2049.25,2042.58,2468958,5043041756,117361,1775070,71.9
HINDUNILVR,EQ,17-Jan-20,2049.25,2055,2063.9,2040.05,2061.95,2060.3,2056.36,994719,2045501348,61520,670916,67.45
HINDUNILVR,EQ,20-Jan-20,2060.3,2060.5,2075.9,2050,2066.05,2062.85,2061.4,829399,1709723289,48931,452810,54.59
HINDUNILVR,EQ,21-Jan-20,2062.85,2059.75,2075,2052.15,2062,2055.4,2058.97,750000,1544227936,54424,439704,58.63
HINDUNILVR,EQ,22-Jan-20,2055.4,2063,2063.5,2027.2,2051.9,2051.7,2045.32,983169,2010891145,70960,544995,55.43
HINDUNILVR,EQ,23-Jan-20,2051.7,2051.75,2060.85,2035,2057,2056.9,2047.01,708017,1449315965,42076,425206,60.06
HINDUNILVR,EQ,24-Jan-20,2056.9,2057,2079,2050.05,2072.7,2073.7,2072.14,914993,1895995802,50498,545886,59.66
HINDUNILVR,EQ,27-Jan-20,2073.7,2066,2068.75,2056.75,2062.95,2061.35,2062.3,429312,885369705.8,31957,253671,59.09
HINDUNILVR,EQ,28-Jan-20,2061.35,2062,2065,2042.7,2060,2060.6,2057.12,777052,1598486250,82900,517179,66.56
HINDUNILVR,EQ,29-Jan-20,2060.6,2062.05,2085.8,2062.05,2070,2074.2,2075.95,873433,1813205650,73343,425200,48.68
HINDUNILVR,EQ,30-Jan-20,2074.2,2074.9,2078,2049.45,2052,2058.1,2062.22,952768,1964812542,67960,706405,74.14
HINDUNILVR,EQ,31-Jan-20,2058.1,2064,2068.25,2020.05,2038.9,2034.25,2039.71,1930834,3938348454,79082,1147755,59.44
HINDUNILVR,EQ,1-Feb-20,2034.25,2049.35,2096,2030.05,2074,2074.9,2074.27,2666062,5530141098,113126,913516,34.26
HINDUNILVR,EQ,3-Feb-20,2074.9,2074.9,2195.55,2074.9,2175,2178.95,2162,4012542,8675122902,180842,1556723,38.8
HINDUNILVR,EQ,4-Feb-20,2178.95,2177,2204.2,2140,2160,2155.6,2167.76,1932121,4188373490,94066,917894,47.51
HINDUNILVR,EQ,5-Feb-20,2155.6,2167.4,2184,2153.9,2159.3,2160.3,2164.44,1514368,3277758068,87356,885125,58.45
HINDUNILVR,EQ,6-Feb-20,2160.3,2166,2196.25,2134.05,2160,2156.4,2165.81,1302116,2820130234,60068,681209,52.32
HINDUNILVR,EQ,7-Feb-20,2156.4,2165,2172,2141.6,2161,2159.95,2154.08,908152,1956233853,44179,555973,61.22
HINDUNILVR,EQ,10-Feb-20,2159.95,2160.1,2189.55,2151.7,2161.85,2159.3,2163.34,1389847,3006710414,47651,702041,50.51
HINDUNILVR,EQ,11-Feb-20,2159.3,2169,2179.65,2147.7,2153.85,2152.65,2162.04,777506,1680999004,54049,451238,58.04
HINDUNILVR,EQ,12-Feb-20,2152.65,2157.1,2272,2155,2262,2260.35,2248.7,4753325,10688782564,216884,2053391,43.2
HINDUNILVR,EQ,13-Feb-20,2260.35,2256,2288.95,2233.05,2284,2283.4,2267.82,2950407,6690977278,97853,1779599,60.32
HINDUNILVR,EQ,14-Feb-20,2283.4,2273,2297.6,2246.25,2254,2255.05,2271.5,1728651,3926628726,73086,978129,56.58
HINDUNILVR,EQ,17-Feb-20,2255.05,2248,2289,2243.2,2254.05,2252.6,2262.44,1420851,3214583357,62176,745987,52.5
HINDUNILVR,EQ,18-Feb-20,2252.6,2252.6,2262.95,2222.1,2241.5,2234.4,2231.34,1194605,2665573982,36111,755352,63.23
HINDUNILVR,EQ,19-Feb-20,2234.4,2250.2,2308.2,2241.25,2296,2292.15,2280.67,1299800,2964409522,87008,539953,41.54
HINDUNILVR,EQ,20-Feb-20,2292.15,2282.2,2289.95,2242.5,2251,2248.25,2262.92,1555224,3519346887,94457,979287,62.97
HINDUNILVR,EQ,24-Feb-20,2248.25,2236.8,2262,2210.1,2217,2215.15,2232.31,1409245,3145868019,75116,787329,55.87
HINDUNILVR,EQ,25-Feb-20,2215.15,2239.9,2279.7,2225.75,2231.2,2233.6,2248.21,2237493,5030364891,94865,1051416,46.99
HINDUNILVR,EQ,26-Feb-20,2233.6,2238.8,2255.7,2202.35,2233,2236.2,2243.92,2896154,6498738392,106783,1965964,67.88
HINDUNILVR,EQ,27-Feb-20,2236.2,2241.95,2259.7,2200,2248.35,2254.95,2228.27,2446802,5452139602,128902,1417049,57.91
HINDUNILVR,EQ,28-Feb-20,2254.95,2191.1,2229.4,2155,2182,2174.75,2184.59,3837330,8382973584,167111,2519490,65.66
HINDUNILVR,EQ,2-Mar-20,2174.75,2190,2241.95,2141.85,2167.9,2159.45,2185.42,1707337,3731250747,83077,856781,50.18
HINDUNILVR,EQ,3-Mar-20,2159.45,2171.9,2189.6,2141.7,2178.65,2166.65,2170.25,1753148,3804768426,110315,1051465,59.98
HINDUNILVR,EQ,4-Mar-20,2166.65,2179,2185.05,2152,2180.9,2175.85,2167.29,1515878,3285344751,69750,899835,59.36
HINDUNILVR,EQ,5-Mar-20,2175.85,2185,2258.65,2181.85,2224,2218,2232.59,2272645,5073883387,142099,919236,40.45
HINDUNILVR,EQ,6-Mar-20,2218,2185,2250,2159.25,2172.1,2188.9,2194.32,2479414,5440619801,122964,1160909,46.82
HINDUNILVR,EQ,9-Mar-20,2188.9,2140,2169.6,2112,2135,2121.5,2135.15,2485208,5306293896,109512,1578931,63.53
HINDUNILVR,EQ,11-Mar-20,2121.5,2066,2169.45,2066,2155.05,2155,2128.68,2861649,6091542158,126457,1514078,52.91
HINDUNILVR,EQ,12-Mar-20,2155,2102.4,2123,2031.65,2074,2055.95,2077.96,3655792,7596600468,161111,2258833,61.79
HINDUNILVR,EQ,13-Mar-20,2055.95,1970,2120,1888.1,2045,2033.2,2028.73,3667035,7439427360,199161,1821253,49.67
HINDUNILVR,EQ,16-Mar-20,2033.2,2000,2039.2,1933.9,1938,1941.9,1970.41,2948704,5810144887,157351,1632400,55.36
HINDUNILVR,EQ,17-Mar-20,1941.9,1955.55,2088,1951.95,2001.95,2004.05,2029.92,3732415,7576485957,216826,1935531,51.86
HINDUNILVR,EQ,18-Mar-20,2004.05,2034.05,2063.8,1909.35,1930,1923.8,1989.17,3911480,7780602601,276097,2006314,51.29
HINDUNILVR,EQ,19-Mar-20,1923.8,1894.3,1899,1757.3,1855,1838.3,1828.49,5095023,9316181144,213980,2761909,54.21
HINDUNILVR,EQ,20-Mar-20,1838.3,1850,2078.9,1850,2075,2051.7,1999.99,4252263,8504478841,192288,2236926,52.61
HINDUNILVR,EQ,23-Mar-20,2051.7,1950,1985.05,1850,1868.85,1869.7,1897.92,3574682,6784451001,207403,2186742,61.17
HINDUNILVR,EQ,24-Mar-20,1869.7,1975,2070.95,1930,2011,2027.85,2015.3,5789906,11668418942,231906,3384878,58.46
HINDUNILVR,EQ,25-Mar-20,2027.85,2010.05,2138.95,2001.65,2078,2088.15,2084.26,3959038,8251673546,239780,2087424,52.73
HINDUNILVR,EQ,26-Mar-20,2088.15,2089,2250,2060,2179,2194.9,2137.27,3201566,6842604518,206208,1508629,47.12
HINDUNILVR,EQ,27-Mar-20,2194.9,2239,2267.65,2120.5,2147,2140.55,2186.05,2918796,6380643118,169463,1182143,40.5
HINDUNILVR,EQ,30-Mar-20,2140.55,2123,2213,2102.85,2189.85,2184.35,2173.44,2809611,6106534112,139369,1125255,40.05
HINDUNILVR,EQ,31-Mar-20,2184.35,2234.8,2313,2185,2298.5,2298.5,2260.32,2809285,6349879036,125401,1371695,48.83
HINDUNILVR,EQ,1-Apr-20,2298.5,2293.2,2324.9,2158.05,2179,2179.65,2219.18,2774689,6157534508,174853,1081170,38.97
HINDUNILVR,EQ,3-Apr-20,2179.65,2234,2254.1,2127.95,2153,2154.1,2183.12,4121462,8997633126,217202,1569735,38.09
HINDUNILVR,EQ,7-Apr-20,2154.1,2220,2460,2220,2449,2444.9,2361.65,8510183,20098061023,356119,4512676,53.03
HINDUNILVR,EQ,8-Apr-20,2444.9,2432,2614.3,2417.4,2455,2460.85,2520.36,9791892,24679065797,415294,4893077,49.97
HINDUNILVR,EQ,9-Apr-20,2460.85,2499.95,2500,2345,2378.65,2372.25,2386.62,4770083,11384386831,282099,1750685,36.7
HINDUNILVR,EQ,13-Apr-20,2372.25,2381,2423,2315,2350.5,2346.45,2352.69,3249562,7645203673,190144,1232563,37.93
