Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
KOTAKBANK,EQ,16-Oct-19,1615.6,1615,1623.3,1592.6,1605,1605.55,1612.87,2686333,4332700157,80693,1284577,47.82
KOTAKBANK,EQ,17-Oct-19,1605.55,1610,1613.6,1586.5,1602,1604.55,1600.11,2076349,3322385492,78587,720510,34.7
KOTAKBANK,EQ,18-Oct-19,1604.55,1603.8,1619.6,1591,1616,1615.25,1606.72,2357607,3788005106,69717,1201242,50.95
KOTAKBANK,EQ,22-Oct-19,1615.25,1626.85,1643,1592,1626.8,1628.85,1615.55,4895082,7908242715,168454,1287420,26.3
KOTAKBANK,EQ,23-Oct-19,1628.85,1630,1638.7,1603.3,1610.95,1613.65,1619.39,3085230,4996204618,119370,1238271,40.14
KOTAKBANK,EQ,24-Oct-19,1613.65,1619.9,1629.9,1597.55,1613.85,1613.2,1618.27,1600001,2589240580,51232,426207,26.64
KOTAKBANK,EQ,25-Oct-19,1613.2,1613.85,1613.85,1569.15,1586.1,1588.6,1589.28,2867020,4556494887,84528,1167087,40.71
KOTAKBANK,EQ,27-Oct-19,1588.6,1594,1601,1590.15,1593.15,1593,1594.75,197634,315177157.3,6555,78159,39.55
KOTAKBANK,EQ,29-Oct-19,1593,1597.4,1597.4,1568,1573.8,1575.55,1578.95,3002530,4740856138,95398,1482067,49.36
KOTAKBANK,EQ,30-Oct-19,1575.55,1579.9,1588.55,1573.8,1576.25,1578.9,1581.43,1677269,2652482557,55866,744712,44.4
KOTAKBANK,EQ,31-Oct-19,1578.9,1583.95,1605,1566,1567.25,1574.5,1587.51,2481421,3939282686,67608,1014845,40.9
KOTAKBANK,EQ,1-Nov-19,1574.5,1572,1585.95,1563,1581,1579.9,1576.58,2219737,3499603770,68609,1172655,52.83
KOTAKBANK,EQ,4-Nov-19,1579.9,1584,1596.8,1565,1568,1571.05,1582.78,1434393,2270327897,56055,632093,44.07
KOTAKBANK,EQ,5-Nov-19,1571.05,1568.6,1569.75,1550.3,1556.45,1553.9,1557.1,2263394,3524332010,68085,1143820,50.54
KOTAKBANK,EQ,6-Nov-19,1553.9,1556.45,1587.95,1541,1572.55,1571.05,1568.44,2247235,3524654001,74825,782595,34.82
KOTAKBANK,EQ,7-Nov-19,1571.05,1577,1587,1558.95,1585.9,1584,1577.65,2511912,3962920346,83847,1358711,54.09
KOTAKBANK,EQ,8-Nov-19,1584,1578.9,1606,1572,1599.7,1600.25,1591.33,3913627,6227887335,101181,2343464,59.88
KOTAKBANK,EQ,11-Nov-19,1600.25,1594.9,1619.4,1592,1619,1616.9,1611.95,2923574,4712666599,105551,1244336,42.56
KOTAKBANK,EQ,13-Nov-19,1616.9,1617,1628,1601.1,1606,1605.8,1616.06,2603834,4207946926,97881,1278788,49.11
KOTAKBANK,EQ,14-Nov-19,1605.8,1606,1610.4,1584.05,1602.25,1597.6,1594.7,2639298,4208894506,108437,1071914,40.61
KOTAKBANK,EQ,15-Nov-19,1597.6,1606,1629,1602.5,1623.25,1622.75,1617.87,2068406,3346409911,66101,1014639,49.05
KOTAKBANK,EQ,18-Nov-19,1622.75,1626.65,1635,1616.55,1627.5,1627.2,1627.97,2014974,3280320038,79095,1172917,58.21
KOTAKBANK,EQ,19-Nov-19,1627.2,1629.9,1631.1,1614.15,1623,1623.8,1623.37,1596482,2591680546,47266,928269,58.14
KOTAKBANK,EQ,20-Nov-19,1623.8,1623,1623.8,1596.2,1601.15,1599.45,1608.4,1562436,2513025288,45118,554134,35.47
KOTAKBANK,EQ,21-Nov-19,1599.45,1603.45,1604.9,1587.5,1595.15,1595.25,1593.89,1673814,2667875824,72443,842043,50.31
KOTAKBANK,EQ,22-Nov-19,1595.25,1591.95,1593.9,1565.1,1568.9,1569.1,1572.58,1862434,2928832422,67422,958019,51.44
KOTAKBANK,EQ,25-Nov-19,1569.1,1574,1606,1570.05,1600.05,1603.65,1592.73,2018421,3214791835,54705,1028919,50.98
KOTAKBANK,EQ,26-Nov-19,1603.65,1601,1610.5,1591.3,1605,1604.4,1601.97,1556808,2493961844,49268,536119,34.44
KOTAKBANK,EQ,27-Nov-19,1604.4,1604.95,1624,1601.7,1621.55,1617.9,1618.16,2040883,3302475006,63435,1013154,49.64
KOTAKBANK,EQ,28-Nov-19,1617.9,1617,1626.1,1607.1,1616.5,1615,1615.25,2237760,3614537687,61225,1245717,55.67
KOTAKBANK,EQ,29-Nov-19,1615,1610,1622,1592.3,1608,1615.2,1605.7,1730478,2778636803,53746,701148,40.52
KOTAKBANK,EQ,2-Dec-19,1615.2,1614.5,1636.5,1600.2,1631,1633,1625.35,2289704,3721574659,71336,1145363,50.02
KOTAKBANK,EQ,3-Dec-19,1633,1634.5,1650,1631.45,1649.95,1646.75,1641.9,2321783,3812130804,70684,696357,29.99
KOTAKBANK,EQ,4-Dec-19,1646.75,1643.3,1659.9,1633.2,1648.6,1651.25,1644.1,2704079,4445773129,124633,1554594,57.49
KOTAKBANK,EQ,5-Dec-19,1651.25,1651.25,1660,1640.4,1646.35,1649.3,1650.62,2936890,4847703730,94553,1344350,45.77
KOTAKBANK,EQ,6-Dec-19,1649.3,1650,1680,1643.3,1676.25,1674.3,1669.5,3799507,6343282506,85107,1865872,49.11
KOTAKBANK,EQ,9-Dec-19,1674.3,1677.95,1679,1656.5,1660,1659.25,1665.93,1893740,3154833717,83670,683741,36.11
KOTAKBANK,EQ,10-Dec-19,1659.25,1665,1665.95,1651.05,1663.75,1662.4,1659.35,1413156,2344917338,64613,709233,50.19
KOTAKBANK,EQ,11-Dec-19,1662.4,1666,1690.85,1659.1,1685.7,1686.55,1677.28,2029117,3403396982,92315,837953,41.3
KOTAKBANK,EQ,12-Dec-19,1686.55,1690.2,1720,1682,1715,1715.6,1701.43,2695588,4586357329,72856,1137127,42.18
KOTAKBANK,EQ,13-Dec-19,1715.6,1716.2,1719,1687.25,1691.5,1692.75,1697.7,3527634,5988877135,105271,2101720,59.58
KOTAKBANK,EQ,16-Dec-19,1692.75,1694,1730,1694,1708,1703.95,1712.88,3662127,6272774661,141561,1742009,47.57
KOTAKBANK,EQ,17-Dec-19,1703.95,1716.05,1721.4,1708.6,1713.3,1713.3,1713.62,2646882,4535744129,81573,1660222,62.72
KOTAKBANK,EQ,18-Dec-19,1713.3,1719,1725.95,1706.3,1724,1724.35,1716.96,4592668,7885414487,127031,3261383,71.01
KOTAKBANK,EQ,19-Dec-19,1724.35,1724.95,1734.8,1715.3,1728,1729.5,1725.52,2701502,4661494382,92363,1698586,62.88
KOTAKBANK,EQ,20-Dec-19,1729.5,1723.15,1724.4,1687.3,1694.3,1692.7,1706.13,3058679,5218490279,148700,1498121,48.98
KOTAKBANK,EQ,23-Dec-19,1692.7,1699,1711.2,1695.1,1702.4,1704.9,1704.15,1745488,2974569210,97857,819844,46.97
KOTAKBANK,EQ,24-Dec-19,1704.9,1704.95,1716.5,1700,1712.8,1711.55,1709.79,1702704,2911262336,76868,579356,34.03
KOTAKBANK,EQ,26-Dec-19,1711.55,1711.05,1715,1689.7,1695,1694.25,1700.36,1646970,2800449540,70220,799767,48.56
KOTAKBANK,EQ,27-Dec-19,1694.25,1705,1705,1681.35,1687.9,1685.6,1689.6,1529366,2584013887,81727,711818,46.54
KOTAKBANK,EQ,30-Dec-19,1685.6,1690,1706.8,1685.5,1687,1690.4,1695.53,1868284,3167739389,76163,874370,46.8
KOTAKBANK,EQ,31-Dec-19,1690.4,1690.4,1691.25,1670.35,1685,1684.35,1677.99,1969679,3305103723,51006,1151691,58.47
KOTAKBANK,EQ,1-Jan-20,1684.35,1689,1696.75,1672,1673.15,1674.05,1679,1475056,2476624714,43248,671941,45.55
KOTAKBANK,EQ,2-Jan-20,1674.05,1680,1683.5,1664.65,1671.5,1671.55,1669.98,1852089,3092952303,56954,1213158,65.5
KOTAKBANK,EQ,3-Jan-20,1671.55,1670.95,1673,1645.55,1659.05,1657.1,1657.75,1594089,2642595823,83688,845118,53.02
KOTAKBANK,EQ,6-Jan-20,1657.1,1657.1,1657.45,1638.6,1653.8,1652.55,1647.07,1480087,2437810664,64555,726237,49.07
KOTAKBANK,EQ,7-Jan-20,1652.55,1661.05,1674.75,1650.4,1668,1670.85,1662.94,2497931,4153901191,62054,1276556,51.1
KOTAKBANK,EQ,8-Jan-20,1670.85,1654.7,1661.45,1638,1651.65,1654.85,1650.47,3125931,5159240766,108277,1366696,43.72
KOTAKBANK,EQ,9-Jan-20,1654.85,1673.5,1673.75,1658.7,1665.1,1665.05,1664.49,2668424,4441566350,64081,1798270,67.39
KOTAKBANK,EQ,10-Jan-20,1665.05,1674.1,1692,1671.2,1686,1684.7,1683.04,2536083,4268318493,97398,1225120,48.31
KOTAKBANK,EQ,13-Jan-20,1684.7,1692,1704.5,1685.55,1690.2,1691.1,1692.29,1807958,3059595263,48374,953751,52.75
KOTAKBANK,EQ,14-Jan-20,1691.1,1696,1696.1,1671,1678.8,1676.8,1676.8,2136892,3583143591,79735,1519525,71.11
KOTAKBANK,EQ,15-Jan-20,1676.8,1675.95,1686.6,1665.9,1681.6,1675.6,1675.83,2490245,4173233968,53526,1704202,68.44
KOTAKBANK,EQ,16-Jan-20,1675.6,1678.9,1705.6,1678.9,1703.05,1701.55,1693.44,3321282,5624404548,94314,1625315,48.94
KOTAKBANK,EQ,17-Jan-20,1701.55,1703.9,1705.85,1690.1,1699,1698.1,1699.33,2295875,3901453391,93648,1347057,58.67
KOTAKBANK,EQ,20-Jan-20,1698.1,1709,1709,1611,1617,1617.9,1645.01,8004034,13166740917,228321,2594865,32.42
KOTAKBANK,EQ,21-Jan-20,1617.9,1605,1630.6,1585.2,1627.35,1625.1,1608.02,5745469,9238854222,185564,1823235,31.73
KOTAKBANK,EQ,22-Jan-20,1625.1,1633.2,1637.9,1576,1591,1585.5,1593.45,5479162,8730746485,154814,2895931,52.85
KOTAKBANK,EQ,23-Jan-20,1585.5,1588,1608.4,1581.3,1606.9,1605.85,1597.13,3495683,5583048607,96078,1747356,49.99
KOTAKBANK,EQ,24-Jan-20,1605.85,1605.45,1649,1587,1638.05,1642.95,1623.03,4252937,6902627963,157612,2356586,55.41
KOTAKBANK,EQ,27-Jan-20,1642.95,1628.7,1629,1608.4,1617,1618.35,1617.8,1874429,3032456402,58316,496047,26.46
KOTAKBANK,EQ,28-Jan-20,1618.35,1620,1638,1610.25,1624,1626.05,1627.45,1981104,3224152585,86400,745664,37.64
KOTAKBANK,EQ,29-Jan-20,1626.05,1633,1646.2,1623.05,1639.55,1640.45,1637.68,2227493,3647920414,62207,1267330,56.89
KOTAKBANK,EQ,30-Jan-20,1640.45,1637.8,1640.3,1617.5,1627.95,1628.25,1628.36,1590156,2589341071,63063,709452,44.62
