Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
PIDILITIND,EQ,16-Oct-19,1379.25,1380,1384.9,1358.05,1363,1360.9,1364.81,562026,767057506.5,20396,228477,40.65
PIDILITIND,EQ,17-Oct-19,1360.9,1361,1374.85,1353,1356.6,1357.2,1358.9,1002807,1362716483,33011,690211,68.83
PIDILITIND,EQ,18-Oct-19,1357.2,1360,1378,1344,1348.05,1351.5,1358.85,826406,1122963360,19966,516694,62.52
PIDILITIND,EQ,22-Oct-19,1351.5,1360.5,1382,1344.05,1352,1350.2,1362.23,1264508,1722548218,44870,613562,48.52
PIDILITIND,EQ,23-Oct-19,1350.2,1358.65,1362.4,1321,1331,1325.25,1338.96,803210,1075467802,28094,353484,44.01
PIDILITIND,EQ,24-Oct-19,1325.25,1335,1367.95,1331.5,1365,1362.8,1352.58,544438,736393437.1,21712,210621,38.69
PIDILITIND,EQ,25-Oct-19,1362.8,1368.9,1379.9,1333,1341,1338.75,1357.9,957873,1300691516,25086,418535,43.69
PIDILITIND,EQ,27-Oct-19,1338.75,1350,1354.9,1345.45,1351.3,1351,1350.64,80658,108939552.5,5422,49638,61.54
PIDILITIND,EQ,29-Oct-19,1351,1358,1366.5,1351.2,1359,1360.65,1357.02,667979,906460496.1,59380,455746,68.23
PIDILITIND,EQ,30-Oct-19,1360.65,1374,1374,1349.2,1365,1365.2,1363.03,532190,725390024,30467,264530,49.71
PIDILITIND,EQ,31-Oct-19,1365.2,1366.55,1414,1366.55,1405.5,1401.6,1401.91,1316249,1845259069,55943,467484,35.52
PIDILITIND,EQ,1-Nov-19,1401.6,1409,1424.45,1393.1,1396.7,1397.95,1408.75,695464,979731928.5,23194,300947,43.27
PIDILITIND,EQ,4-Nov-19,1397.95,1408,1408,1385,1402.5,1399.45,1397.25,461969,645487256.2,16375,275709,59.68
PIDILITIND,EQ,5-Nov-19,1399.45,1405,1405,1377,1389,1388.8,1386.63,425650,590219185.8,21114,193979,45.57
PIDILITIND,EQ,6-Nov-19,1388.8,1396.8,1397.4,1368.6,1371.6,1371.1,1375.53,485868,668327160,27351,289456,59.58
PIDILITIND,EQ,7-Nov-19,1371.1,1380,1385.85,1366.4,1385,1382.6,1379.49,331074,456712428,15592,151650,45.81
PIDILITIND,EQ,8-Nov-19,1382.6,1382.1,1388.7,1345.5,1349.85,1354.15,1366.62,422960,578024802.2,17227,209086,49.43
PIDILITIND,EQ,11-Nov-19,1354.15,1360,1361.05,1318,1321,1321.1,1330.73,540826,719692250.7,27235,249144,46.07
PIDILITIND,EQ,13-Nov-19,1321.1,1321,1346.4,1314.6,1332.9,1324,1328.63,1386806,1842546730,52934,681539,49.14
PIDILITIND,EQ,14-Nov-19,1324,1318,1349.9,1307.75,1334.95,1344.4,1332.32,1435858,1913027161,51797,327879,22.84
PIDILITIND,EQ,15-Nov-19,1344.4,1345,1345,1314.35,1316.45,1316.65,1324.16,699645,926445235.8,46737,359053,51.32
PIDILITIND,EQ,18-Nov-19,1316.65,1319.45,1322.95,1301,1306.85,1305.25,1307.38,563361,736525526.2,30208,188701,33.5
PIDILITIND,EQ,19-Nov-19,1305.25,1305,1306,1288,1303.3,1298.15,1294.43,694313,898737882.7,33723,356168,51.3
PIDILITIND,EQ,20-Nov-19,1298.15,1300.1,1333,1300.1,1332.95,1328.1,1323,867482,1147675636,24770,338560,39.03
PIDILITIND,EQ,21-Nov-19,1328.1,1330.55,1334.5,1296,1297.85,1299.75,1310.9,494379,648080968.7,34652,310487,62.8
PIDILITIND,EQ,22-Nov-19,1299.75,1303,1316.45,1288.45,1298.4,1297.9,1302.57,415673,541442880.7,16765,156537,37.66
PIDILITIND,EQ,25-Nov-19,1297.9,1305.9,1306.1,1278,1300,1300.35,1291.41,633584,818216912.1,24942,237743,37.52
PIDILITIND,EQ,26-Nov-19,1300.35,1303,1324.2,1295.15,1305.8,1305.6,1310.61,1030141,1350114691,47771,598272,58.08
PIDILITIND,EQ,27-Nov-19,1305.6,1313.7,1321.8,1306,1313.5,1313.25,1313.51,365347,479885634.7,18173,155827,42.65
PIDILITIND,EQ,28-Nov-19,1313.25,1313.25,1327.5,1304.65,1316,1310.6,1317.29,619223,815694600.3,19592,242584,39.18
PIDILITIND,EQ,29-Nov-19,1310.6,1312,1320,1300,1302,1303,1307.37,289052,377898624.5,20181,123670,42.78
PIDILITIND,EQ,2-Dec-19,1303,1310,1324.85,1290,1324.5,1320.25,1310.58,488429,640124725.2,22161,229604,47.01
PIDILITIND,EQ,3-Dec-19,1320.25,1325.4,1331,1315.55,1320,1321.6,1323.83,416328,551149570,15179,92394,22.19
PIDILITIND,EQ,4-Dec-19,1321.6,1320,1327.95,1313.15,1317,1320.35,1320.4,237371,313423558.5,9829,86968,36.64
PIDILITIND,EQ,5-Dec-19,1320.35,1319.9,1325,1307.55,1310,1310.95,1315.78,310467,408506213.8,17121,170067,54.78
PIDILITIND,EQ,6-Dec-19,1310.95,1312.9,1338,1308.15,1318.9,1315.7,1325.8,639145,847376173.7,21444,166521,26.05
PIDILITIND,EQ,9-Dec-19,1315.7,1318.9,1335,1314,1330.95,1327.1,1328.1,345045,458255937.6,15168,118637,34.38
PIDILITIND,EQ,10-Dec-19,1327.1,1327.35,1331.8,1317.5,1318.85,1319.55,1324.89,231499,306711007.1,11889,109977,47.51
PIDILITIND,EQ,11-Dec-19,1319.55,1320.95,1333,1320.1,1330,1330.35,1328.44,178858,237601772.9,11641,86169,48.18
PIDILITIND,EQ,12-Dec-19,1330.35,1330,1340,1323.65,1331.1,1331.05,1333.51,349820,466490027.4,21263,189213,54.09
PIDILITIND,EQ,13-Dec-19,1331.05,1337.9,1337.9,1318.7,1325,1324.45,1326.95,287140,381021348,25266,156549,54.52
PIDILITIND,EQ,16-Dec-19,1324.45,1324.45,1335.4,1312.75,1316.1,1315.25,1322.45,209369,276880250.7,11828,112003,53.5
PIDILITIND,EQ,17-Dec-19,1315.25,1320.9,1331.15,1308,1329.9,1327.55,1323.24,323935,428642279.5,32015,206409,63.72
PIDILITIND,EQ,18-Dec-19,1327.55,1328.8,1373,1327.75,1367,1364.7,1357.57,993482,1348718491,35512,228261,22.98
PIDILITIND,EQ,19-Dec-19,1364.7,1369.9,1384,1367,1376.85,1376.8,1375.83,1005159,1382926980,36778,490288,48.78
PIDILITIND,EQ,20-Dec-19,1376.8,1377.1,1385.2,1374,1375.05,1377.55,1378.05,558189,769211898.7,21151,384239,68.84
PIDILITIND,EQ,23-Dec-19,1377.55,1376,1386.7,1361.65,1376.35,1377.1,1376.13,244310,336203347.4,14283,85307,34.92
PIDILITIND,EQ,24-Dec-19,1377.1,1380,1387.85,1365,1376,1376.9,1377.52,222884,307027142.9,12315,63669,28.57
PIDILITIND,EQ,26-Dec-19,1376.9,1384.1,1396,1377,1389.5,1390.1,1390.59,577261,802734661.3,19263,230747,39.97
PIDILITIND,EQ,27-Dec-19,1390.1,1398,1406.2,1390.5,1398,1398.25,1397.87,454312,635069906.9,18677,201968,44.46
PIDILITIND,EQ,30-Dec-19,1398.25,1402,1409.4,1395.05,1401.7,1406.65,1402.79,216539,303758791.2,11388,110520,51.04
PIDILITIND,EQ,31-Dec-19,1406.65,1400.95,1406.85,1385.15,1387,1386.9,1393.98,274758,383007653.4,13986,169144,61.56
PIDILITIND,EQ,1-Jan-20,1386.9,1388.05,1412,1387,1405,1405.35,1402.91,252523,354266989.8,8995,88057,34.87
PIDILITIND,EQ,2-Jan-20,1405.35,1405,1411,1395.5,1396,1399.05,1402.15,206412,289419789.3,13354,91234,44.2
PIDILITIND,EQ,3-Jan-20,1399.05,1395.5,1402.9,1391.55,1397,1397.65,1395.93,243932,340511745.3,12089,125618,51.5
PIDILITIND,EQ,6-Jan-20,1397.65,1387.35,1394.9,1381.95,1388,1387.7,1387.72,789499,1095603850,23554,567320,71.86
PIDILITIND,EQ,7-Jan-20,1387.7,1390.1,1431.85,1390,1400,1399.7,1411.24,863685,1218865905,26743,281457,32.59
PIDILITIND,EQ,8-Jan-20,1399.7,1392.1,1407.3,1389,1403.6,1403.55,1398.78,259791,363390494.7,17112,103341,39.78
PIDILITIND,EQ,9-Jan-20,1403.55,1410.55,1425.45,1407.1,1415,1414.4,1415.39,510894,723114505.7,16693,306096,59.91
PIDILITIND,EQ,10-Jan-20,1414.4,1420,1432.85,1409.15,1416.7,1415.15,1421.11,2584478,3672819365,23210,352989,13.66
PIDILITIND,EQ,13-Jan-20,1415.15,1419.9,1434.4,1415.1,1422.85,1425.5,1424.01,297267,423310486.8,14440,117926,39.67
PIDILITIND,EQ,14-Jan-20,1425.5,1425.5,1431.7,1417,1426.8,1427.2,1424.3,285820,407093090.8,16790,150560,52.68
PIDILITIND,EQ,15-Jan-20,1427.2,1426.8,1438.7,1415.1,1433,1432.05,1424.22,392459,558948213.7,15599,218877,55.77
PIDILITIND,EQ,16-Jan-20,1432.05,1431.25,1456,1430.05,1452.9,1452.65,1448.11,569179,824233830.8,24724,238114,41.83
PIDILITIND,EQ,17-Jan-20,1452.65,1453.5,1455.2,1434.2,1447.1,1447.85,1442.75,489591,706359474.1,32716,268162,54.77
PIDILITIND,EQ,20-Jan-20,1447.85,1450,1465,1438.2,1442.35,1440.4,1451.51,326309,473641047.8,14837,121970,37.38
PIDILITIND,EQ,21-Jan-20,1440.4,1439.25,1440,1412.5,1416,1414.75,1421.29,235201,334288858.6,17207,121764,51.77
